method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
ACDC_sce_scaled_original,ACDC_sce_scaled_original,1,1,1,1,1,1
CyCadas_sce_scaled_original,ACDC_sce_scaled_original,0.557064998802116,0.249291336158125,0.154114413539351,0.13169413030873,0.25854362741759,0.569800594901511
CyCadas_sce_unscaled_original,ACDC_sce_scaled_original,0.557064998802116,0.249291336158125,0.154114413539351,0.13169413030873,0.25854362741759,0.569800594901511
ImmCellTyper_sce_scaled_original,ACDC_sce_scaled_original,0.547904842094672,0.122703188379032,0.106230773630968,0.0596063340266152,0.187847196313348,0.529825609155635
ImmCellTyper_sce_unscaled_original,ACDC_sce_scaled_original,0.540070952169107,0.146124361561322,0.123310987106793,0.0938087225305181,0.24938000814376,0.547081164102815
KS_sce_scaled_original,ACDC_sce_scaled_original,,0.238941217105669,0.125198635638344,0.105448480502198,0.193175342128416,0.562587217858117
KS_sce_unscaled_original,ACDC_sce_scaled_original,,0.23790709727772,0.134926033828591,0.112472751200637,0.199524043396742,0.565960686451247
Manual_sce_scaled_original,ACDC_sce_scaled_original,0.574031081856921,0.267253869791267,0.182578279602269,0.152463922727544,0.247802071164678,0.58439602744546
Manual_sce_unscaled_original,ACDC_sce_scaled_original,0.574031081856921,0.267253869791267,0.182578279602269,0.152463922727544,0.247802071164678,0.58439602744546
SCINA_sce_scaled_original,ACDC_sce_scaled_original,,0.202688445135073,0.187045112588516,0.0747987529706448,0.201856986480661,0.548427017855347
SCINA_sce_unscaled_original,ACDC_sce_scaled_original,,0.136718703429328,0.0763093477725991,0.0192152820964947,0.115038065500089,0.519567296943911
ACDC_sce_scaled_original,CyCadas_sce_scaled_original,0.605329920272801,0.249291336158125,0.154114413539351,0.13169413030873,0.276519861334147,0.568378918829609
CyCadas_sce_scaled_original,CyCadas_sce_scaled_original,1,1,1,1,1,1
CyCadas_sce_unscaled_original,CyCadas_sce_scaled_original,1,1,1,1,1,1
ImmCellTyper_sce_scaled_original,CyCadas_sce_scaled_original,0.587275347704997,0.282996749430793,0.118803983318816,0.0561144008720545,0.167107158028342,0.529575657994292
ImmCellTyper_sce_unscaled_original,CyCadas_sce_scaled_original,0.588776175623294,0.277259205400611,0.141588590921188,0.0503521435782622,0.175029191838001,0.525801456905671
KS_sce_scaled_original,CyCadas_sce_scaled_original,,0.563497027347047,0.303347267678682,0.386753991626372,0.474273374045389,0.719084081133908
KS_sce_unscaled_original,CyCadas_sce_scaled_original,,0.56730694868219,0.337378029152239,0.392351634760453,0.485435910995298,0.72091906292868
Manual_sce_scaled_original,CyCadas_sce_scaled_original,0.700396446190211,0.638138099454851,0.379297375491676,0.465438619603265,0.540078328071085,0.753429872659597
Manual_sce_unscaled_original,CyCadas_sce_scaled_original,0.700396446190211,0.638138099454851,0.379297375491676,0.465438619603265,0.540078328071085,0.753429872659597
SCINA_sce_scaled_original,CyCadas_sce_scaled_original,,0.542067731254194,0.471377091140169,0.460645738623729,0.625978991018113,0.770377793250774
SCINA_sce_unscaled_original,CyCadas_sce_scaled_original,,0.392551922550831,0.393192839764626,0.317097226902276,0.491548139092298,0.706661159038435
ACDC_sce_scaled_original,CyCadas_sce_unscaled_original,0.605329920272801,0.249291336158125,0.154114413539351,0.13169413030873,0.276519861334147,0.568378918829609
CyCadas_sce_scaled_original,CyCadas_sce_unscaled_original,1,1,1,1,1,1
CyCadas_sce_unscaled_original,CyCadas_sce_unscaled_original,1,1,1,1,1,1
ImmCellTyper_sce_scaled_original,CyCadas_sce_unscaled_original,0.587275347704997,0.282996749430793,0.118803983318816,0.0561144008720545,0.167107158028342,0.529575657994292
ImmCellTyper_sce_unscaled_original,CyCadas_sce_unscaled_original,0.588776175623294,0.277259205400611,0.141588590921188,0.0503521435782622,0.175029191838001,0.525801456905671
KS_sce_scaled_original,CyCadas_sce_unscaled_original,,0.563497027347047,0.303347267678682,0.386753991626372,0.474273374045389,0.719084081133908
KS_sce_unscaled_original,CyCadas_sce_unscaled_original,,0.56730694868219,0.337378029152239,0.392351634760453,0.485435910995298,0.72091906292868
Manual_sce_scaled_original,CyCadas_sce_unscaled_original,0.700396446190211,0.638138099454851,0.379297375491676,0.465438619603265,0.540078328071085,0.753429872659597
Manual_sce_unscaled_original,CyCadas_sce_unscaled_original,0.700396446190211,0.638138099454851,0.379297375491676,0.465438619603265,0.540078328071085,0.753429872659597
SCINA_sce_scaled_original,CyCadas_sce_unscaled_original,,0.542067731254194,0.471377091140169,0.460645738623729,0.625978991018113,0.770377793250774
SCINA_sce_unscaled_original,CyCadas_sce_unscaled_original,,0.392551922550831,0.393192839764626,0.317097226902276,0.491548139092298,0.706661159038435
ACDC_sce_scaled_original,ImmCellTyper_sce_scaled_original,0.521488989703128,0.122703188379032,0.106230773630968,0.0596063340266152,0.265162876218775,0.528973140607307
CyCadas_sce_scaled_original,ImmCellTyper_sce_scaled_original,0.578092728899207,0.282996749430793,0.118803983318816,0.0561144008720545,0.116097049677294,0.529250725610932
CyCadas_sce_unscaled_original,ImmCellTyper_sce_scaled_original,0.578092728899207,0.282996749430793,0.118803983318816,0.0561144008720545,0.116097049677294,0.529250725610932
ImmCellTyper_sce_scaled_original,ImmCellTyper_sce_scaled_original,1,1,1,1,1,1
