method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
ACDC_sce_scaled_original,ACDC_sce_scaled_original,1,1,1,1,1,1
CyCadas_sce_scaled_original,ACDC_sce_scaled_original,0.557064998802116,0.249291336158125,0.154114413539351,0.13169413030873,0.25854362741759,0.569800594901511
CyCadas_sce_unscaled_original,ACDC_sce_scaled_original,0.557064998802116,0.249291336158125,0.154114413539351,0.13169413030873,0.25854362741759,0.569800594901511
ImmmCellTyper_sce_scaled_original,ACDC_sce_scaled_original,,0.183308279691555,0.0985358762681285,0.0588458779059145,0.139316087147962,0.535526101840068
ImmmCellTyper_sce_unscaled_original,ACDC_sce_scaled_original,,0.224285319290617,0.114225771382135,0.0890833497134995,0.195866385646982,0.555960262498442
KS_sce_scaled_original,ACDC_sce_scaled_original,,0.238941217105669,0.125198635638344,0.105448480502198,0.193175342128416,0.562587217858117
KS_sce_unscaled_original,ACDC_sce_scaled_original,,0.23790709727772,0.134926033828591,0.112472751200637,0.199524043396742,0.565960686451247
Manual_sce_scaled_original,ACDC_sce_scaled_original,,0.30977884818517,0.187104792462553,0.143176003939146,0.255875740622505,0.584005030286205
Manual_sce_unscaled_original,ACDC_sce_scaled_original,,0.30977884818517,0.187104792462553,0.143176003939146,0.255875740622505,0.584005030286205
SCINA_sce_scaled_original,ACDC_sce_scaled_original,,0.202688445135073,0.187045112588516,0.0747987529706448,0.201856986480661,0.548427017855347
SCINA_sce_unscaled_original,ACDC_sce_scaled_original,,0.136718703429328,0.0763093477725991,0.0192152820964947,0.115038065500089,0.519567296943911
ACDC_sce_scaled_original,CyCadas_sce_scaled_original,0.605329920272801,0.249291336158125,0.154114413539351,0.13169413030873,0.276519861334147,0.568378918829609
CyCadas_sce_scaled_original,CyCadas_sce_scaled_original,1,1,1,1,1,1
CyCadas_sce_unscaled_original,CyCadas_sce_scaled_original,1,1,1,1,1,1
ImmmCellTyper_sce_scaled_original,CyCadas_sce_scaled_original,,0.412068330245051,0.118597223856595,0.054664650725063,0.13701586406446,0.529502730466458
ImmmCellTyper_sce_unscaled_original,CyCadas_sce_scaled_original,,0.464874193237158,0.161287956734473,0.0606089003814581,0.153171183284493,0.532205260322389
KS_sce_scaled_original,CyCadas_sce_scaled_original,,0.563497027347047,0.303347267678682,0.386753991626372,0.474273374045389,0.719084081133908
KS_sce_unscaled_original,CyCadas_sce_scaled_original,,0.56730694868219,0.337378029152239,0.392351634760453,0.485435910995298,0.72091906292868
Manual_sce_scaled_original,CyCadas_sce_scaled_original,,0.684173259636278,0.391540310560816,0.453931096242368,0.561637053339323,0.755431170967426
Manual_sce_unscaled_original,CyCadas_sce_scaled_original,,0.684173259636278,0.391540310560816,0.453931096242368,0.561637053339323,0.755431170967426
SCINA_sce_scaled_original,CyCadas_sce_scaled_original,,0.542067731254194,0.471377091140169,0.460645738623729,0.625978991018113,0.770377793250774
SCINA_sce_unscaled_original,CyCadas_sce_scaled_original,,0.392551922550831,0.393192839764626,0.317097226902276,0.491548139092298,0.706661159038435
ACDC_sce_scaled_original,CyCadas_sce_unscaled_original,0.605329920272801,0.249291336158125,0.154114413539351,0.13169413030873,0.276519861334147,0.568378918829609
CyCadas_sce_scaled_original,CyCadas_sce_unscaled_original,1,1,1,1,1,1
CyCadas_sce_unscaled_original,CyCadas_sce_unscaled_original,1,1,1,1,1,1
ImmmCellTyper_sce_scaled_original,CyCadas_sce_unscaled_original,,0.412068330245051,0.118597223856595,0.054664650725063,0.13701586406446,0.529502730466458
ImmmCellTyper_sce_unscaled_original,CyCadas_sce_unscaled_original,,0.464874193237158,0.161287956734473,0.0606089003814581,0.153171183284493,0.532205260322389
KS_sce_scaled_original,CyCadas_sce_unscaled_original,,0.563497027347047,0.303347267678682,0.386753991626372,0.474273374045389,0.719084081133908
KS_sce_unscaled_original,CyCadas_sce_unscaled_original,,0.56730694868219,0.337378029152239,0.392351634760453,0.485435910995298,0.72091906292868
Manual_sce_scaled_original,CyCadas_sce_unscaled_original,,0.684173259636278,0.391540310560816,0.453931096242368,0.561637053339323,0.755431170967426
Manual_sce_unscaled_original,CyCadas_sce_unscaled_original,,0.684173259636278,0.391540310560816,0.453931096242368,0.561637053339323,0.755431170967426
SCINA_sce_scaled_original,CyCadas_sce_unscaled_original,,0.542067731254194,0.471377091140169,0.460645738623729,0.625978991018113,0.770377793250774
SCINA_sce_unscaled_original,CyCadas_sce_unscaled_original,,0.392551922550831,0.393192839764626,0.317097226902276,0.491548139092298,0.706661159038435
ACDC_sce_scaled_original,ImmmCellTyper_sce_scaled_original,0.545277174493571,0.183308279691555,0.0985358762681285,0.0588458779059145,0.250897808852018,0.534351346279943
CyCadas_sce_scaled_original,ImmmCellTyper_sce_scaled_original,0.575173377109774,0.412068330245051,0.118597223856595,0.054664650725063,0.0995664100850751,0.529559560463425
CyCadas_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,0.575173377109774,0.412068330245051,0.118597223856595,0.054664650725063,0.0995664100850751,0.529559560463425
ImmmCellTyper_sce_scaled_original,ImmmCellTyper_sce_scaled_original,1,1,1,1,1,1
ImmmCellTyper_sce_unscaled_original,ImmmCellTyper_sce_scaled_original,,0.765409004894786,0.67150896782139,0.80443341586707,0.866983857097537,0.917893348249565
