method1,method2,ACC,ARI,F1,kappa,F1_weighted,ACC_weighted
ACDC_sce_scaled_original,ACDC_sce_scaled_original,1,1,1,1,1,1
CyCadas_sce_scaled_original,ACDC_sce_scaled_original,0.557064998802116,0.249291336158125,0.154114413539351,0.13169413030873,0.25854362741759,0.569800594901511
CyCadas_sce_unscaled_original,ACDC_sce_scaled_original,0.557064998802116,0.249291336158125,0.154114413539351,0.13169413030873,0.25854362741759,0.569800594901511
ImmmCellTyper_sce_scaled_original,ACDC_sce_scaled_original,0.58650986682871,0.183308279691555,0.11227175634483,0.0588458779059145,0.236673305160883,0.531882026623186
ImmmCellTyper_sce_unscaled_original,ACDC_sce_scaled_original,0.596207033584153,0.224285319290617,0.136702649776014,0.0890833497134995,0.328636290699182,0.559587606330801
KS_sce_scaled_original,ACDC_sce_scaled_original,0.586639162451382,0.238941217105669,0.205722852424341,0.105448480502198,0.279112469653254,0.620475342376284
KS_sce_unscaled_original,ACDC_sce_scaled_original,0.586363398147076,0.23790709727772,0.214628033379471,0.112472751200637,0.293582817043361,0.625557790028727
Manual_sce_scaled_original,ACDC_sce_scaled_original,0.627411559161548,0.30977884818517,0.322608122963516,0.143176003939146,0.379984427058671,0.658305891371543
Manual_sce_unscaled_original,ACDC_sce_scaled_original,0.627411559161548,0.30977884818517,0.322608122963516,0.143176003939146,0.379984427058671,0.658305891371543
SCINA_sce_scaled_original,ACDC_sce_scaled_original,0.674897621145775,0.202688445135073,0.381620157285898,0.0747987529706448,0.51892297532078,0.725644505374213
SCINA_sce_unscaled_original,ACDC_sce_scaled_original,0.641266591236473,0.136718703429328,0.236363037600728,0.0192152820964947,0.284956768834173,0.602236773753555
ACDC_sce_scaled_original,CyCadas_sce_scaled_original,0.605329920272801,0.249291336158125,0.154114413539351,0.13169413030873,0.276519861334147,0.568378918829609
CyCadas_sce_scaled_original,CyCadas_sce_scaled_original,1,1,1,1,1,1
CyCadas_sce_unscaled_original,CyCadas_sce_scaled_original,1,1,1,1,1,1
ImmmCellTyper_sce_scaled_original,CyCadas_sce_scaled_original,0.645527762328303,0.412068330245051,0.142854995724945,0.054664650725063,0.160465402654241,0.529705819642661
ImmmCellTyper_sce_unscaled_original,CyCadas_sce_scaled_original,0.66098282810381,0.464874193237158,0.190496327812001,0.0606089003814581,0.176856404016966,0.530642949244678
KS_sce_scaled_original,CyCadas_sce_scaled_original,0.711886307242653,0.563497027347047,0.325681096302557,0.386753991626372,0.572640281219425,0.768134277825592
KS_sce_unscaled_original,CyCadas_sce_scaled_original,0.70071864718525,0.56730694868219,0.385897696535135,0.392351634760453,0.58136750090321,0.770126640531712
Manual_sce_scaled_original,CyCadas_sce_scaled_original,0.741801353756888,0.684173259636278,0.438217433318597,0.453931096242368,0.648291555458499,0.80757415145957
Manual_sce_unscaled_original,CyCadas_sce_scaled_original,0.741801353756888,0.684173259636278,0.438217433318597,0.453931096242368,0.648291555458499,0.80757415145957
SCINA_sce_scaled_original,CyCadas_sce_scaled_original,0.782173366513774,0.542067731254194,0.591151762618766,0.460645738623729,0.888085903956024,0.922887441426297
SCINA_sce_unscaled_original,CyCadas_sce_scaled_original,0.829336207980943,0.392551922550831,0.495467022740172,0.317097226902276,0.697673157016479,0.822657570058597
ACDC_sce_scaled_original,CyCadas_sce_unscaled_original,0.605329920272801,0.249291336158125,0.154114413539351,0.13169413030873,0.276519861334147,0.568378918829609
CyCadas_sce_scaled_original,CyCadas_sce_unscaled_original,1,1,1,1,1,1
CyCadas_sce_unscaled_original,CyCadas_sce_unscaled_original,1,1,1,1,1,1
ImmmCellTyper_sce_scaled_original,CyCadas_sce_unscaled_original,0.645527762328303,0.412068330245051,0.142854995724945,0.054664650725063,0.160465402654241,0.529705819642661
ImmmCellTyper_sce_unscaled_original,CyCadas_sce_unscaled_original,0.66098282810381,0.464874193237158,0.190496327812001,0.0606089003814581,0.176856404016966,0.530642949244678
KS_sce_scaled_original,CyCadas_sce_unscaled_original,0.711886307242653,0.563497027347047,0.325681096302557,0.386753991626372,0.572640281219425,0.768134277825592
KS_sce_unscaled_original,CyCadas_sce_unscaled_original,0.70071864718525,0.56730694868219,0.385897696535135,0.392351634760453,0.58136750090321,0.770126640531712
Manual_sce_scaled_original,CyCadas_sce_unscaled_original,0.741801353756888,0.684173259636278,0.438217433318597,0.453931096242368,0.648291555458499,0.80757415145957
Manual_sce_unscaled_original,CyCadas_sce_unscaled_original,0.741801353756888,0.684173259636278,0.438217433318597,0.453931096242368,0.648291555458499,0.80757415145957
SCINA_sce_scaled_original,CyCadas_sce_unscaled_original,0.782173366513774,0.542067731254194,0.591151762618766,0.460645738623729,0.888085903956024,0.922887441426297
SCINA_sce_unscaled_original,CyCadas_sce_unscaled_original,0.829336207980943,0.392551922550831,0.495467022740172,0.317097226902276,0.697673157016479,0.822657570058597
ACDC_sce_scaled_original,ImmmCellTyper_sce_scaled_original,0.550546829845439,0.183308279691555,0.11227175634483,0.0588458779059145,0.29145270004045,0.536501069953184
CyCadas_sce_scaled_original,ImmmCellTyper_sce_scaled_original,0.584157000743443,0.412068330245051,0.142854995724945,0.054664650725063,0.108321080883621,0.535238796056675
